;cleaned_tweet;polarity;sentimen;;;;;;;;;;;;;;
85;mohon astroarena ikan hak siar langsung cara percuma pasu bangsa panjang piala aff langsung bukan semua orang mampu bayar untuk rancang tv tiap bulan semata mata untuk menjenguk sukan cukup sekadar piala dunia dan liga antarabangsa sahaja;0,1;1;;;;;;;;;;;;;;
86;besok premier league kembali gulir boxing day ini klasemen sementara belum break piala dunia;0,2;1;;;;;;;;;;;;;;
87;di piala aff 2022 singapura ingin seperti maroko di piala dunia;0,2;1;;;;;;;;;;;;;;
88;realmadridindo1 piala dunia 2018 yang juara 2 dapat balon dor kok;0;0;;;;;;;;;;;;;;
89;indonesia suka drama seperti final piala dunia kemarin moga allah lindung walau tidak adil bagi senang tidak moga allah beri kuat pada akhir budiman sudjatmiko juga yang bakal tentu hasil akhir bukan saya;0,176666667;1;;;;;;;;;;;;;;
90;aya2 wae petisi minta final piala dunia 2022 ulang capai 200 ribu tanda tangan;0;0;;;;;;;;;;;;;;
91;israel koyak sengaja tembak mati main bola sepak palestine lepas fifa piala dunia qatar kibar bendera palestine;-0,2;-1;;;;;;;;;;;;;;
92;r min80 aniesbaswedan ini betul orang rimba nyata lihat twitnya tanggal 11 des 2022 final piala dunia tanggal 18 des 2022 nyambungkah kalau itu di argentina tolol;-0,2;-1;;;;;;;;;;;;;;
93;sekarang kita lihat yuk fakta tarik dari timnas amputee indonesia yang lolos piala dunia 2022;0;0;;;;;;;;;;;;;;
94;lawan brentford tottenham istirahat main yang tampil final piala dunia;0;0;;;;;;;;;;;;;;
95;siap laga di piala dunia antar club;0,2;1;;;;;;;;;;;;;;
96;tanyakanrl iya kemarin saja pas selesai piala dunia galau minta ampun asa tinggal gitu;0;0;;;;;;;;;;;;;;
97;box2boxbola orang amerika latin ke eropa cm mencari duit main beneran iya buat piala dunia copa america kalau juara arak di kampung;0,1;1;;;;;;;;;;;;;;
98;beberapa rekor di fifaworldcup yang hasil pecah lionel messi telah gelar piala dunia 2022 qatar usai lionel andres messi ladies and gentlemen;0;0;;;;;;;;;;;;;;
99;news berita fakta indonesia viral beritaterkini 8 stadion mewah dan canggih piala dunia qatar 2022;0,5;1;;;;;;;;;;;;;;
100;xavi iniesta puyol raih gelar piala dunia piala eropa ucl lah liga piala raja piala super eropa super spanyol pada antarklub hanya dalam kurun 2 tahun fakta;0,277777778;1;;;;;;;;;;;;;;
101;siaranbolalive bagi fans ronaldo tahun 2022 jadi piala dunia buruk panjang sejarah;-0,05;-1;;;;;;;;;;;;;;
102;den hak jokowi semenjak beliau jadi presiden argenita jadi juara piala dunia presiden sebelumnnya sedang apa saja;0,285714286;1;;;;;;;;;;;;;;
103;peguam om tawar us 1 juta untuk bisht pakai messi pada piala dunia;0;0;;;;;;;;;;;;;;
104;populer dua wanita itu sudah tekad untuk topless jika argentina hasil kalah perancis di piala dunia qatar 2022;0,6;1;;;;;;;;;;;;;;
105;lanjut piala dunia tahun 2026 kira kira w lagi sedang apa yaaa wkwk;0;0;;;;;;;;;;;;;;
106;italia pernah menang piala dunia telah menang lotre akibat selalu imbang dari waktu normal hingga adu penalti;0,0125;1;;;;;;;;;;;;;;
107;latih asal malaysia sebut negara asia tenggara yang paling peluang masuk ke putar final piala dunia 2026 adalah vietnam kumparanbola;0,166666667;1;;;;;;;;;;;;;;
108;idextratime njir bang dodo juara piala dunia tiktok;0;0;;;;;;;;;;;;;;
109;eko92771292 goal id messi brpa kali piala dunia jawab bukan tiap org punya prestasi masing2;0;0;;;;;;;;;;;;;;
110;lfcindonesia scjohnson wah ada kiper baik piala dunia 2022 loh iya beda yang skrg;0,4;1;;;;;;;;;;;;;;
111;zufarrrrrrr tolong ada piala dunia doang ini mah;0;0;;;;;;;;;;;;;;
112;angkawaroe anandaprstyaa oktahilmi goal id iya itu yang nama org ada prestasi masing2 messi mungkin banyak piala tapi ttp gk bisa ngungguli pele di piala dunia goal intl cr7 hattrick di final layakny mbappe rekor goal trcpt dan lain-lain apa yang seorg dptkn dia legend tapi bukan goat suatu saat semua rekor atlet pasti terpecahkn;0;0;;;;;;;;;;;;;;
113;siaranbolalive tidak ada uang fans inggris yang ditangkepin adalah salah satu indikator sukses piala dunia edisi skrg;0,375;1;;;;;;;;;;;;;;
114;kaca dari ranking fifa m qodari ungkap rahasia rute indonesia ke piala dunia follow kami untuk berita tarik lain sore ini salah home alone selamat natal lee jeno santa glass onion merryxmas usagi feliz navidad;-0,45;-1;;;;;;;;;;;;;;
115;kamu tidak percaya bahwa tuhan eks oke terus apakah orang2 harus tahu bhw kamu pikir demikian mengapa kamu sangat cari perhatian coba lihat isi medsos orang2 relijius isi mukidi piala dunia perang russia ukarine fusi nuklir llnl dan lain-lain tapi kamu bahkan curhat;0,033333333;1;;;;;;;;;;;;;;
116;alih alih sibuk dengan euforia saat piala dunia kaum muslimin harus lebih fokus pada solusi masalah umat yang kian parah permasalahn yang tunggu nashr lalu saudara iman;0,3;1;;;;;;;;;;;;;;
117;suara duka piala dunia part 2 nyata hal itu tidak cukup untuk jamin bebas saudara kita di palestina;-0,2;-1;;;;;;;;;;;;;;
118;vidio fifa world cup qatar 2022 dapat tonton tayang bagai ikut konten konten piala dunia livestreaming highlight siar ulang tanding world cup zonauang zonajajan;0;0;;;;;;;;;;;;;;
119;emiliano martinez pahlawan piala dunia argentina yang ubah jadi jahat emilianomartinez argentina timnasargentina;-1;-1;;;;;;;;;;;;;;
120;semua akan messi pada waktu goat messi argentina pialadunia mbappe;0;0;;;;;;;;;;;;;;
121;juara piala dunia 2022 lisandro martinez langsung minta fokus ke premier league bolaskorcom lisandromartinez tenhag manutd;0;0;;;;;;;;;;;;;;
122;riot di paris terus sampai hari ini walaupun deh minggu piala dunia akhir;0;0;;;;;;;;;;;;;;
123;telah menang pada piala dunia 2014 latih jerman cara tegas larang main untuk jadi bintang iklan sosis;0;0;;;;;;;;;;;;;;
124;rekomendasi slot gacor hari ini link bola pelangi superbopel org sange aaaaaaaaaah usuttuntastragedikanjuruhan acmilan irene telkomsel harimau pssi jepang bolapelangi pialadunia worldcup;0;0;;;;;;;;;;;;;;
125;idextratime sejak kapan rooney juara piala dunia;0;0;;;;;;;;;;;;;;
126;korban piala dunia 2022 tottenham hilang richarlison 3 4 minggu absen lawan arsenal dan man city richarlison alami cedera hamstring saat tampil lawan kroasia di empat final piala dunia 2022 tottenham pasti hilang richarlison;0,3;1;;;;;;;;;;;;;;
127;harap satu satu agar indonesia bisa masuk piala dunia adalah dengan baik kualitas tanding agar mampu naik minimal ke posisi 50 besar ranking fifa;0,233333333;1;;;;;;;;;;;;;;
128;racheldunar siaranbolalive piala dunia paling berisik;0,5;1;;;;;;;;;;;;;;
129;helppp nd bisa pa move on dari piala dunia;0;0;;;;;;;;;;;;;;
130;sudah kangen saja sm euforia piala dunia;0;0;;;;;;;;;;;;;;
131;muhammad inas21 idextratime itu kebangaaan masa lalu yang harus terus terus kita hidup karena masuk piala dunia lagi buat masa masa depan mungkin saja tunggu kita tinggal dulu;0,034090909;1;;;;;;;;;;;;;;
132;racheldunar siaranbolalive piala dunia baik iya 2006;0;0;;;;;;;;;;;;;;
133;sempat jadi kontroversi jubah piala dunia 2022 lionel messi kini tawar rp 15 6 miliar;0;0;;;;;;;;;;;;;;
134;idextratime gak rasa sudah minggu leo messi angkat tropi piala dunia;0;0;;;;;;;;;;;;;;
135;orangbiasamales ngancurin mood euforia piala dunia saja ini;-0,2;-1;;;;;;;;;;;;;;
136;amazoght idextratime siapa yang bilang goat tentu piala dunia messi tentu piala dunia karena cuma itu piala yang bom dia dapat pele sebutin ada berapa harga dan piala yang dia miss messi komplit;0,107142857;1;;;;;;;;;;;;;;
137;andres iniesta tetap anggap lionel messi bagai main baik meski gagal juara piala dunia 2022;0,8;1;;;;;;;;;;;;;;
138;kaca dari ranking fifa qodari bedah rute indonesia ke piala dunia;0;0;;;;;;;;;;;;;;
139;cnnindonesia pntesan siar piala dunia dblur penontonya ehhehehe;0;0;;;;;;;;;;;;;;
140;arkolema jundigates melempemg siaranbolalive 2026 amerika gak pantas jadi tuan rumah perang saudara mereka newaskan juta org ayo boikot piala dunia amerika serikat 2026 yok njing arkolema;0,136363636;1;;;;;;;;;;;;;;
141;arkolema jundigates melempemg siaranbolalive ulang ulang terus anjg cuman 40 org yang tinggal dalam konstruksi bangun untuk piala dunia media barat bawa bawa angka ribu itu dasar puluh atau bas tahun tlol;-0,003409091;-1;;;;;;;;;;;;;;
142;siaranbolalive gak asa 3 thun lagi piala dunia;0;0;;;;;;;;;;;;;;
143;angel di maria sudah bawa argentina juara piala dunia 2022 kini juventus juga harap di maria bisa terus main bagus;0;0;;;;;;;;;;;;;;
144;meski tidak unggul singapura tekad tang piala aff 2022 jalan maroko di piala dunia 2022 yang baru saja usai jadi inspirasi bagi the lions;-0,35;-1;;;;;;;;;;;;;;
145;gak asa piala dunia qatar 2022 sudah selesai minggu yang lalu terima kasih qatar sudah siap stadion dan hotel hotel yang megah dan selamat untuk argentina yang hasil jadi menang piala dunia qatar 2022;0,425;1;;;;;;;;;;;;;;
146;zidane pertama kali main di piala dunia 1982 dia adalah djamel zidane dari aljazair yang rupa paman dari zinedine zidane;0,25;1;;;;;;;;;;;;;;
147;hradhiyan box2boxbola baca dulu mas jelang jeda piala dunia yang arti gameweek 16 15 atau 14 belum piala dunia sedakang mu vs ars itu gameweek ke 6;0,25;1;;;;;;;;;;;;;;
148;sejarah menang piala dunia;0,5;1;;;;;;;;;;;;;;
149;fachrul rozi19 siaranbolalive piala dunia paling sensasional dan paling kontroversial cara teknis suporter main official tim wasit jadwal cmn kalau acu service yang beri mungkin qatar bisa bilang yang paling the best;0,610416667;1;;;;;;;;;;;;;;
150;siaranbolalive para daki gunung selain bisa lihat pandang indah juga bisa langsung nonton piala dunia;0,675;1;;;;;;;;;;;;;;
151;muncul petisi final piala dunia antara perancis vs argentina;0;0;;;;;;;;;;;;;;
152;meski tidak unggul singapura tekad tang piala aff 2022 jalan maroko di piala dunia 2022 yang baru saja usai jadi inspirasi bagi the lions;-0,35;-1;;;;;;;;;;;;;;
153;main brasil richarlison nobat bagai cetak gol baik di piala dunia 2022;0,7;1;;;;;;;;;;;;;;
154;herikkiswanto4 oh pas piala dunia u20 iya om;0;0;;;;;;;;;;;;;;
155;fifa ranking update ranking fifa untuk zona concacaf per tanggal 22 desember 2022 amerika serikat jadi puncak concacaf untuk sepakbola laki laki telah lolos ke fase 16 besar piala dunia 2022 sementara di perempuan amerika serikat belum goyah bagai si nomor satu;-0,111111111;-1;;;;;;;;;;;;;;
156;chelsea hantam badai cedera belum jeda piala dunia 2022 liga inggris akan main lagi siapa saja main the blues yang sudah pulih;0;0;;;;;;;;;;;;;;
157;yudatepung freakingcooll padahal be a minggu final piala dunia e masih juga marah marah pakdek;-0,25;-1;;;;;;;;;;;;;;
158;apakah anda lihat diri anda main piala dunia lain lewandowski entah ini bukan hanya masalah sepak bola tim atau fisik tapi juga hal lain kita lihat saja nanti;-0,041666667;-1;;;;;;;;;;;;;;
159;semua menjenguk piala dunia;0;0;;;;;;;;;;;;;;
160;kbri doha gelar malam apresiasi volunteer piala dunia asal indonesia;0;0;;;;;;;;;;;;;;
161;pernah lagi pas jungkook perform di opening piala dunia suami itu bule mana yang nyanyi aku buleeeee langsung aku nunjuk foto jungkook dinding aku itu loh orgnya yang nyanyi jungkook nama member bts hebat hebat;0,8;1;;;;;;;;;;;;;;
162;idextratime vibes bola telah piala dunia;0;0;;;;;;;;;;;;;;
163;wasit final piala dunia 2022 aku bikin salah yang rugi prancis;0;0;;;;;;;;;;;;;;
164;wasit var pada final piala dunia 2022 tomasz kwiatkowski buka suara kait banjir kritik yang tuju kepada jajar kumparanbola;0,2;1;;;;;;;;;;;;;;
165;qodari ungkap rahasia rute indonesia ke piala dunia;-0,4;-1;;;;;;;;;;;;;;
166;amazoght idextratime belum messi dapat juara piala dunia juga main sepakbola messi lebih indah makanya dia bilang goat sepakbola;0,716666667;1;;;;;;;;;;;;;;
167;mengapa pulau panji jadi popular rana kisah titik tolak demam piala dunia 1986 pada ketika itu kumpul kanak kanak mula minat sukan bola sepak dan mula jinak untuk main bola;0,220833333;1;;;;;;;;;;;;;;
168;minum jamu makanya burger cuma senyum kamu yang bisa bikin aku seger lagi buru panggil papa mau cemburu tapi bukan siapa siapa nonton messi juara piala dunia hanya mimpi bisa sama dia buat lucu2an saja sayang prasaan sayang nya buat kamu saja deh suatu hari nanti;0,157142857;1;;;;;;;;;;;;;;
169;r min80 aniesbaswedan kamu lihat tglnya goblookk final piala dunia saja tanggal 18 postingan tanggal 11 isi kepala kamu batok kelapa yaa;0;0;;;;;;;;;;;;;;
170;sirubahgurun http papa idextratime main di piala dunia cetak 1 gol pinalti duduk di bangku cadang pulang;0;0;;;;;;;;;;;;;;
171;informasi ronaldo7 adammalik01z idextratime main di piala dunia cetak 1 gol pinalti duduk di bangku cadang pulang wkwkkwkw;0;0;;;;;;;;;;;;;;
172;wasit final piala dunia 2022 aku bikin salah yang rugi prancis finalpialadunia2022 pialadunia2022 szymonmarciniak;0;0;;;;;;;;;;;;;;
173;jika gagal juara piala dunia 2022 andres iniesta tetap anggap lionel messi bagai main baik lengkapcepatberitanya bola sepakbola sepakboladunia boladunia;0,133333333;1;;;;;;;;;;;;;;
174;muncul petisi minta laga final piala dunia 2022 argetina vs prancis ulang petisi ditandatangani lebih dari 200 ribu orang alas minta ulang tanding argentina vs prancis sebut tidak lain karena putus wasit szymon marciniak yang anggap kontroversial;0,35;1;;;;;;;;;;;;;;
175;oghiegigs malu ga sih misal begini pas piala dunia nanti;0;0;;;;;;;;;;;;;;
176;5 pesepakbola yang harga roket kelar piala dunia 2022;0;0;;;;;;;;;;;;;;
177;iihamzada piala dunia selesai sekarang sudah pada fokus ke piala aff;0;0;;;;;;;;;;;;;;
178;registaco piala dunia usai mari kembali hina mu;0;0;;;;;;;;;;;;;;
179;ulang dong piala dunia qatar 2022 nya dari jungkook perform dreamers sampai argentina menang final saya deh kangen;0;0;;;;;;;;;;;;;;
