"cleaned_tweet","polarity","sentimen"
"relive 2022 3 750 tweet lama 2022 cukup berisik juga kalau inget ada masa saya sekip main twitter di tiga atau empat bulan pertama dan sakit lama mayoritas piala dunia dari ribu tweet itu ada 40 yang turut saya cukup tarik buat angkat dan lihat lagi","0.1125","1"
"saat dominasi wags patah emak2 pada pialadunia qatar 2022","0","0"
"angel di maria mampu ganda duduk jadi 2 0 ketika tanding dengan prancis bisa jadi sang kapten lionel messi adalah aktor utama bagi argentina saat laga di partai final piala dunia 2022 lawan prancis minggu 18 12 2022","0.10222222222222","1"
"smtm 11 catat rating tv rendah panjang sejarah show me the money tahun ini rating smtm 11 rata rata hanya 0 9 persen lebih rendah dari season 2 dan season 1 rating yang rendah ini juga pengaruh oleh smtm 11 yang tayang bareng dengan piala dunia qatar 2022","-0.021428571428571","-1"
"tanpa juara piala dunia pun messi sudah sejajar dengan pele dan maradona emtekworldcup2022 bolacomworldcup2022 pialadunia2022 pialadunia","0","0"
"lionel messi kabar mau pamer trofi piala dunia di kandang klub psg hal itu jadi debat yang rasa sulit buat messi","-0.15","-1"
"ajang piala dunia 2014 brazil tinggal hitung hari lagi kamu dukung negara mana","0","0"
"then my mom said arti bukan rezeki kamu gapapa nanti dikirimin lagi kesel itu duit aku mencari buat adek bukan buat maling sial kesel lagi karena adekku yang football freak sampai gak nonton piala dunia cz that incident padahal waktu nonton tv di sana jarang itu","0.033333333333333","1"
"agak mustahil messi gak menang ballon dor di periode yang sama dia menang piala dunia kasih selamat dari sekarang","-0.35555555555556","-1"
"juara piala dunia 2022 bank central argentina akan monetisasi citra lionel messi pada uang kertas 1 000 peso lionelmessi messi messiday","0","0"
"main spurs yang tidak berangkat ke piala dunia siap untuk lakon laga boxing day","0.2","1"
"strategi qatar dalam kenal ajar islam pada piala dunia 2022","0","0"
"informasi ronaldo7 main yang kamu sebut punya piala dunia semua jhony","0","0"
"my lil bruh call me by phone aku gak nonton piala dunia aku ambil duit kirim 300rb buat beli jajan pas nonton piala dunia buat pegang belum beli jajan aku tinggal sebentar duit hilang ambil aku tahu orang tapi gak mau suudzon aku sebel akhir aku tidur saja","0","0"
"news berita fakta indonesia viral beritaterkini stadion piala dunia qatar 2022 yang buat dari bahan bekas","0","0"
"denger2 ada yang minta final pildun alias piala dunia ulang","0","0"
"bagai banding zidane mraih gelar piala dunia piala eropa ucl lah liga piala raja piala super eropa super spanyol intercontinental cup dalam waktu 5 tahun fakta","0.27777777777778","1"
"peguam om tawar as 1 juta untuk bisht pakai messi pada piala dunia lin orang peguam dari om hasrat beli bisht yang pakai bintang bola sepak argentina lionel messi pada majlis anugerah piala dunia pada harga as 1 juta sarawaknews","0","0"
"cnnindonesia sok keras piala dunia saja ga pernah masuk","0.15","1"
"angel di maria sudah bawa argentina juara piala dunia 2022 kini juventus juga harap di maria bisa terus main bagus","0","0"
"mohon astroarena ikan hak siar langsung cara percuma pasu bangsa panjang piala aff langsung bukan semua orang mampu bayar untuk rancang tv tiap bulan semata mata untuk menjenguk sukan cukup sekadar piala dunia dan liga antarabangsa sahaja","0.1","1"
"besok premier league kembali gulir boxing day ini klasemen sementara belum break piala dunia","0.2","1"
"di piala aff 2022 singapura ingin seperti maroko di piala dunia","0.2","1"
"realmadridindo1 piala dunia 2018 yang juara 2 dapat balon dor kok","0","0"
"indonesia suka drama seperti final piala dunia kemarin moga allah lindung walau tidak adil bagi senang tidak moga allah beri kuat pada akhir budiman sudjatmiko juga yang bakal tentu hasil akhir bukan saya","0.17666666666667","1"
"aya2 wae petisi minta final piala dunia 2022 ulang capai 200 ribu tanda tangan","0","0"
"israel koyak sengaja tembak mati main bola sepak palestine lepas fifa piala dunia qatar kibar bendera palestine","-0.2","-1"
"r min80 aniesbaswedan ini betul orang rimba nyata lihat twitnya tanggal 11 des 2022 final piala dunia tanggal 18 des 2022 nyambungkah kalau itu di argentina tolol","-0.2","-1"
"sekarang kita lihat yuk fakta tarik dari timnas amputee indonesia yang lolos piala dunia 2022","0","0"
"lawan brentford tottenham istirahat main yang tampil final piala dunia","0","0"
"siap laga di piala dunia antar club","0.2","1"
"tanyakanrl iya kemarin saja pas selesai piala dunia galau minta ampun asa tinggal gitu","0","0"
"box2boxbola orang amerika latin ke eropa cm mencari duit main beneran iya buat piala dunia copa america kalau juara arak di kampung","0.1","1"
"beberapa rekor di fifaworldcup yang hasil pecah lionel messi telah gelar piala dunia 2022 qatar usai lionel andres messi ladies and gentlemen","0","0"
"news berita fakta indonesia viral beritaterkini 8 stadion mewah dan canggih piala dunia qatar 2022","0.5","1"
"xavi iniesta puyol raih gelar piala dunia piala eropa ucl lah liga piala raja piala super eropa super spanyol pada antarklub hanya dalam kurun 2 tahun fakta","0.27777777777778","1"
"siaranbolalive bagi fans ronaldo tahun 2022 jadi piala dunia buruk panjang sejarah","-0.05","-1"
"den hak jokowi semenjak beliau jadi presiden argenita jadi juara piala dunia presiden sebelumnnya sedang apa saja","0.28571428571429","1"
"peguam om tawar us 1 juta untuk bisht pakai messi pada piala dunia","0","0"
"populer dua wanita itu sudah tekad untuk topless jika argentina hasil kalah perancis di piala dunia qatar 2022","0.6","1"
"lanjut piala dunia tahun 2026 kira kira w lagi sedang apa yaaa wkwk","0","0"
"italia pernah menang piala dunia telah menang lotre akibat selalu imbang dari waktu normal hingga adu penalti","0.0125","1"
"latih asal malaysia sebut negara asia tenggara yang paling peluang masuk ke putar final piala dunia 2026 adalah vietnam kumparanbola","0.16666666666667","1"
"idextratime njir bang dodo juara piala dunia tiktok","0","0"
"eko92771292 goal id messi brpa kali piala dunia jawab bukan tiap org punya prestasi masing2","0","0"
"lfcindonesia scjohnson wah ada kiper baik piala dunia 2022 loh iya beda yang skrg","0.4","1"
"zufarrrrrrr tolong ada piala dunia doang ini mah","0","0"
"angkawaroe anandaprstyaa oktahilmi goal id iya itu yang nama org ada prestasi masing2 messi mungkin banyak piala tapi ttp gk bisa ngungguli pele di piala dunia goal intl cr7 hattrick di final layakny mbappe rekor goal trcpt dan lain-lain apa yang seorg dptkn dia legend tapi bukan goat suatu saat semua rekor atlet pasti terpecahkn","0","0"
"siaranbolalive tidak ada uang fans inggris yang ditangkepin adalah salah satu indikator sukses piala dunia edisi skrg","0.375","1"
"kaca dari ranking fifa m qodari ungkap rahasia rute indonesia ke piala dunia follow kami untuk berita tarik lain sore ini salah home alone selamat natal lee jeno santa glass onion merryxmas usagi feliz navidad","-0.45","-1"
"kamu tidak percaya bahwa tuhan eks oke terus apakah orang2 harus tahu bhw kamu pikir demikian mengapa kamu sangat cari perhatian coba lihat isi medsos orang2 relijius isi mukidi piala dunia perang russia ukarine fusi nuklir llnl dan lain-lain tapi kamu bahkan curhat","0.033333333333333","1"
"alih alih sibuk dengan euforia saat piala dunia kaum muslimin harus lebih fokus pada solusi masalah umat yang kian parah permasalahn yang tunggu nashr lalu saudara iman","0.3","1"
"suara duka piala dunia part 2 nyata hal itu tidak cukup untuk jamin bebas saudara kita di palestina","-0.2","-1"
"vidio fifa world cup qatar 2022 dapat tonton tayang bagai ikut konten konten piala dunia livestreaming highlight siar ulang tanding world cup zonauang zonajajan","0","0"
"emiliano martinez pahlawan piala dunia argentina yang ubah jadi jahat emilianomartinez argentina timnasargentina","-1","-1"
"semua akan messi pada waktu goat messi argentina pialadunia mbappe","0","0"
"juara piala dunia 2022 lisandro martinez langsung minta fokus ke premier league bolaskorcom lisandromartinez tenhag manutd","0","0"
"riot di paris terus sampai hari ini walaupun deh minggu piala dunia akhir","0","0"
"telah menang pada piala dunia 2014 latih jerman cara tegas larang main untuk jadi bintang iklan sosis","0","0"
"rekomendasi slot gacor hari ini link bola pelangi superbopel org sange aaaaaaaaaah usuttuntastragedikanjuruhan acmilan irene telkomsel harimau pssi jepang bolapelangi pialadunia worldcup","0","0"
"idextratime sejak kapan rooney juara piala dunia","0","0"
"korban piala dunia 2022 tottenham hilang richarlison 3 4 minggu absen lawan arsenal dan man city richarlison alami cedera hamstring saat tampil lawan kroasia di empat final piala dunia 2022 tottenham pasti hilang richarlison","0.3","1"
"harap satu satu agar indonesia bisa masuk piala dunia adalah dengan baik kualitas tanding agar mampu naik minimal ke posisi 50 besar ranking fifa","0.23333333333333","1"
"racheldunar siaranbolalive piala dunia paling berisik","0.5","1"
"helppp nd bisa pa move on dari piala dunia","0","0"
"sudah kangen saja sm euforia piala dunia","0","0"
"muhammad inas21 idextratime itu kebangaaan masa lalu yang harus terus terus kita hidup karena masuk piala dunia lagi buat masa masa depan mungkin saja tunggu kita tinggal dulu","0.034090909090909","1"
"racheldunar siaranbolalive piala dunia baik iya 2006","0","0"
"sempat jadi kontroversi jubah piala dunia 2022 lionel messi kini tawar rp 15 6 miliar","0","0"
"idextratime gak rasa sudah minggu leo messi angkat tropi piala dunia","0","0"
"orangbiasamales ngancurin mood euforia piala dunia saja ini","-0.2","-1"
"amazoght idextratime siapa yang bilang goat tentu piala dunia messi tentu piala dunia karena cuma itu piala yang bom dia dapat pele sebutin ada berapa harga dan piala yang dia miss messi komplit","0.10714285714286","1"
"andres iniesta tetap anggap lionel messi bagai main baik meski gagal juara piala dunia 2022","0.8","1"
"kaca dari ranking fifa qodari bedah rute indonesia ke piala dunia","0","0"
"cnnindonesia pntesan siar piala dunia dblur penontonya ehhehehe","0","0"
"arkolema jundigates melempemg siaranbolalive 2026 amerika gak pantas jadi tuan rumah perang saudara mereka newaskan juta org ayo boikot piala dunia amerika serikat 2026 yok njing arkolema","0.13636363636364","1"
"arkolema jundigates melempemg siaranbolalive ulang ulang terus anjg cuman 40 org yang tinggal dalam konstruksi bangun untuk piala dunia media barat bawa bawa angka ribu itu dasar puluh atau bas tahun tlol","-0.0034090909090909","-1"
"siaranbolalive gak asa 3 thun lagi piala dunia","0","0"
"angel di maria sudah bawa argentina juara piala dunia 2022 kini juventus juga harap di maria bisa terus main bagus","0","0"
"meski tidak unggul singapura tekad tang piala aff 2022 jalan maroko di piala dunia 2022 yang baru saja usai jadi inspirasi bagi the lions","-0.35","-1"
"gak asa piala dunia qatar 2022 sudah selesai minggu yang lalu terima kasih qatar sudah siap stadion dan hotel hotel yang megah dan selamat untuk argentina yang hasil jadi menang piala dunia qatar 2022","0.425","1"
"zidane pertama kali main di piala dunia 1982 dia adalah djamel zidane dari aljazair yang rupa paman dari zinedine zidane","0.25","1"
"hradhiyan box2boxbola baca dulu mas jelang jeda piala dunia yang arti gameweek 16 15 atau 14 belum piala dunia sedakang mu vs ars itu gameweek ke 6","0.25","1"
"sejarah menang piala dunia","0.5","1"
"fachrul rozi19 siaranbolalive piala dunia paling sensasional dan paling kontroversial cara teknis suporter main official tim wasit jadwal cmn kalau acu service yang beri mungkin qatar bisa bilang yang paling the best","0.61041666666667","1"
"siaranbolalive para daki gunung selain bisa lihat pandang indah juga bisa langsung nonton piala dunia","0.675","1"
"muncul petisi final piala dunia antara perancis vs argentina","0","0"
"meski tidak unggul singapura tekad tang piala aff 2022 jalan maroko di piala dunia 2022 yang baru saja usai jadi inspirasi bagi the lions","-0.35","-1"
"main brasil richarlison nobat bagai cetak gol baik di piala dunia 2022","0.7","1"
"herikkiswanto4 oh pas piala dunia u20 iya om","0","0"
"fifa ranking update ranking fifa untuk zona concacaf per tanggal 22 desember 2022 amerika serikat jadi puncak concacaf untuk sepakbola laki laki telah lolos ke fase 16 besar piala dunia 2022 sementara di perempuan amerika serikat belum goyah bagai si nomor satu","-0.11111111111111","-1"
"chelsea hantam badai cedera belum jeda piala dunia 2022 liga inggris akan main lagi siapa saja main the blues yang sudah pulih","0","0"
"yudatepung freakingcooll padahal be a minggu final piala dunia e masih juga marah marah pakdek","-0.25","-1"
"apakah anda lihat diri anda main piala dunia lain lewandowski entah ini bukan hanya masalah sepak bola tim atau fisik tapi juga hal lain kita lihat saja nanti","-0.041666666666667","-1"
"semua menjenguk piala dunia","0","0"
"kbri doha gelar malam apresiasi volunteer piala dunia asal indonesia","0","0"
"pernah lagi pas jungkook perform di opening piala dunia suami itu bule mana yang nyanyi aku buleeeee langsung aku nunjuk foto jungkook dinding aku itu loh orgnya yang nyanyi jungkook nama member bts hebat hebat","0.8","1"
"idextratime vibes bola telah piala dunia","0","0"
"wasit final piala dunia 2022 aku bikin salah yang rugi prancis","0","0"
"wasit var pada final piala dunia 2022 tomasz kwiatkowski buka suara kait banjir kritik yang tuju kepada jajar kumparanbola","0.2","1"
"qodari ungkap rahasia rute indonesia ke piala dunia","-0.4","-1"
"amazoght idextratime belum messi dapat juara piala dunia juga main sepakbola messi lebih indah makanya dia bilang goat sepakbola","0.71666666666667","1"
"mengapa pulau panji jadi popular rana kisah titik tolak demam piala dunia 1986 pada ketika itu kumpul kanak kanak mula minat sukan bola sepak dan mula jinak untuk main bola","0.22083333333333","1"
"minum jamu makanya burger cuma senyum kamu yang bisa bikin aku seger lagi buru panggil papa mau cemburu tapi bukan siapa siapa nonton messi juara piala dunia hanya mimpi bisa sama dia buat lucu2an saja sayang prasaan sayang nya buat kamu saja deh suatu hari nanti","0.15714285714286","1"
"r min80 aniesbaswedan kamu lihat tglnya goblookk final piala dunia saja tanggal 18 postingan tanggal 11 isi kepala kamu batok kelapa yaa","0","0"
"sirubahgurun http papa idextratime main di piala dunia cetak 1 gol pinalti duduk di bangku cadang pulang","0","0"
"informasi ronaldo7 adammalik01z idextratime main di piala dunia cetak 1 gol pinalti duduk di bangku cadang pulang wkwkkwkw","0","0"
"wasit final piala dunia 2022 aku bikin salah yang rugi prancis finalpialadunia2022 pialadunia2022 szymonmarciniak","0","0"
"jika gagal juara piala dunia 2022 andres iniesta tetap anggap lionel messi bagai main baik lengkapcepatberitanya bola sepakbola sepakboladunia boladunia","0.13333333333333","1"
"muncul petisi minta laga final piala dunia 2022 argetina vs prancis ulang petisi ditandatangani lebih dari 200 ribu orang alas minta ulang tanding argentina vs prancis sebut tidak lain karena putus wasit szymon marciniak yang anggap kontroversial","0.35","1"
"oghiegigs malu ga sih misal begini pas piala dunia nanti","0","0"
"5 pesepakbola yang harga roket kelar piala dunia 2022","0","0"
"iihamzada piala dunia selesai sekarang sudah pada fokus ke piala aff","0","0"
"registaco piala dunia usai mari kembali hina mu","0","0"
"ulang dong piala dunia qatar 2022 nya dari jungkook perform dreamers sampai argentina menang final saya deh kangen","0","0"
"harry kane harus segera move on dari gagal penalti di piala dunia 2022 bolaskorcom kane qatar2022","-0.31666666666667","-1"
"ambikarenmadina siaranbolalive piala dunia dengan komposisi main sempurna dan baik dsri semua club kalau liga champion bener2 harus ngeracik taktik dengan main yang biasa saja medioker main muda dan lain-lain jelas beda latih negara belum tentu bisa jadi latih club","0.17857142857143","1"
"masih tanya sergio aguero yang ikut angkat trofi piala dunia mungkin tulis ini akan jawab bagaimana peran aguero selain aguero ada hal hal non teknis lain yang juga jadi sebab juara argentina di piala dunia fantasista id","-0.0625","-1"
"rafiziramli saya faham rr sebab kita kena contoh rakyat jepun rakyat juga main peran contoh masa piala dunia mereka sih tempat tu belum tinggal tempat itu ini adalah salah satu contoh kalau kita amal sikap begini generasi yang akan juga akan contoh","0","0"
"ini kaos yang dipake supporters timnas korsel waktu piala dunia 2002 jadi satu stadion mereka semua pakai ini nyata sampai 2022 masih ada saja yang jual hebat lho brandingnya","0.5","1"
"belum pakai piala dunia cicip dulu","0.25","1"
"fifaworldcupqatar2022 terima kasih qatar piala dunia baik","0.7","1"
"poka polka idextratime yang masalah kenapa iri argentina juara piala dunia","0","0"
"foto pilih yang warna 2022 dari tampar will smith mati ratu elizabeth ii hingga raya messi di piala dunia","-0.2","-1"
"masih heboh soal koki kenal salt bae yang ikut raya argentina juara piala dunia 2022 fakta baru ada gestur lionel messi yang tidak suka dengan","0.25568181818182","1"
"piala dunia selesai saat haaland aksi video omarmomani fifaworldcup messi mbappe argentina haaland premierleague cristianoronaldo mancity","0.1","1"
"angel di maria sudah bawa argentina juara piala dunia 2022 kini juventus juga harap di maria bisa terus main bagus","0","0"
"masih heboh soal koki kenal salt bae yang ikut raya argentina juara piala dunia 2022 fakta baru ada gestur lionel messi yang tidak suka dengan","0.25568181818182","1"
"angel di maria pamer tato baru telah raih trofi piala dunia 2022","0.13636363636364","1"
"baru 3 bulan juara piala dunia argentina akan main di kualifikasi pada 2026","0","0"
"premier league kembali tepat di boxing day telah libur bulan karena piala dunia sudah siap saling banter lagi sila disimpen iya jadwal biar tidak tinggal","0.1202380952381","1"
"semua sudah beri kepada messi tapi kok cecunguk2 sepakbola masih tidak bisa beri sedikit rasa respect ke cr7 dia cuma butuh respect atas kerja keras di dunia sepakbola lama ini messi good ending dengan piala dunia cristiano good ending dengan respect dari kalian","0.074404761904762","1"
"trofi piala dunia 2022 jadi kado natal indah tahun ini bagi tim nasional timnas argentina dan warga negara","0.85","1"
"fzi2050 siaranbolalive kamu yang berlebihan banget karena berisik emang keluarga ada yang tinggal gr2 dia pegang piala dunia itu biasa saja kamu juga geli","-0.0875","-1"
"hanya tang r min80 dukung ganjarpranowo final piala dunia bisa maju jadi tanggal 11 desember 2022 jaman jokowi adalah puncak jaya orang2 goblog","0","0"
"layak piala dunia 1994 skuad argentina dalam krisis pada umur 33 tahun ego maradona tanpa kelab dan lebih berat badan kembali daripada sara dia bantu argentina layak ke piala dunia 1994 dengan buat 1 assist masa tumpas australia 2 1 impak","0.33333333333333","1"
"piala dunia gegap gempita om sudah ada denger kabar ada yang mati karena covid","-0.2","-1"
"r min80 aniesbaswedan hmm baru tahu saya tanggal 11 desember piala dunia sudah tetap argentina juara hebat anda","0.8","1"
"media korea selatan sorot kiprah timnas indonesia di piala aff 2022 sepakbola dunia","0","0"
"fifa pilih wanita palestina heba saadia untuk ikut pimpin tanding piala dunia wanita di australia dan selandia baru pada bulan juli 2023 freepalestine","0.13636363636364","1"
"tragis usai gelar piala dunia 2022 ahmad atef daraghmeh sebak bola palestina tembak mati oleh tentara israel ahmedatef palestine israel","-0.475","-1"
"5 pesepakbola yang harga roket kelar piala dunia 2022 nomor 1 juli alvarez lengkapcepatberitanya bola sepakbola sepakboladunia boladunia","0.1","1"
"negara dengan juara banyak di piala dunia sejak 1930","0.5","1"
"piala dunia 2022","0","0"
"kapan indonesia jadi juara piala dunia iya","0","0"
"korea selatan jadi negara asia yang paling sering lolos putar final piala dunia mereka lolos 8 kali dan 7 antara turut turut","0.16666666666667","1"
"cuma di era iwan bule messi menang piala dunia","0","0"
"siaranbolalive tapi jujur mau bertanya trophy piala dunia cuma boleh pegang sama tim juara","0.3","1"
"wasit final piala dunia jelas kenapa gol messi yang protes tetap sah","0.05","1"
"piala dunia qatar bukan sekadar sepak bola banyak hal yang luput dari perhati apa saja baca lengkap di artikel ini klik","0","0"
"garagarabola bulan september bareng dengan kualifikasi afc kamu 23 jika kita ingin main di olimpiade kita harus lewat ini oktober dan november sudah di mulai nya kualifikasi piala dunia 2026 kualifikasi piala asia 2027","0","0"
"untung rp 117 5 triliun presiden fifa ingin piala dunia gelar tiga tahun sekali","0.4","1"
